dataset_id,example_id,variant_id,alignscore_base,hhem_2_1_open_mean_support,hhem_2_1_open_min_sentence_support,hhem_2_1_open_unsupported_sentence_rate
dart,dart-test-53,full_system,0.9848273992538452,0.7669796943664551,0.7669796943664551,0.0
dart,dart-test-53,raw_generic_flash,0.8354198932647705,0.7171742916107178,0.7171742916107178,0.0
dart,dart-test-53,task_aware_direct_flash,0.9900270104408264,0.7358856797218323,0.7358856797218323,0.0
e2e_nlg,e2e_nlg-test-51,full_system,0.9852584600448608,0.6561922430992126,0.6561922430992126,0.0
e2e_nlg,e2e_nlg-test-51,raw_generic_flash,0.9865624308586121,0.6425295472145081,0.6425295472145081,0.0
e2e_nlg,e2e_nlg-test-51,task_aware_direct_flash,0.9874902367591858,0.6732851266860962,0.6732851266860962,0.0
sportsett_basketball,4934,full_system,0.1619511842727661,0.10906306695606974,0.007973887026309967,0.8888888888888888
sportsett_basketball,4934,raw_generic_flash,0.1983218491077423,0.033393374644219875,0.010957376100122929,1.0
sportsett_basketball,4934,task_aware_direct_flash,0.19116321206092834,0.14072803664021194,0.013212758116424084,0.8333333333333334
totto,totto-validation-204,full_system,0.22982053458690643,0.8315196633338928,0.8315196633338928,0.0
totto,totto-validation-204,raw_generic_flash,0.6671950817108154,0.7947864234447479,0.589485764503479,0.0
totto,totto-validation-204,task_aware_direct_flash,0.6379722356796265,0.9094898700714111,0.9094898700714111,0.0
web_nlg,web_nlg_en-test-51,full_system,0.950594425201416,0.7202266454696655,0.7202266454696655,0.0
web_nlg,web_nlg_en-test-51,raw_generic_flash,0.983758807182312,0.7421432137489319,0.7421432137489319,0.0
web_nlg,web_nlg_en-test-51,task_aware_direct_flash,0.9593837857246399,0.6997080445289612,0.6997080445289612,0.0
