dataset_id,metric_name,full_system,raw_generic_flash,task_aware_direct_flash
dart,bertscore_f1,0.9205604910850524,0.9185906171798706,0.917348837852478
dart,bleu,0.19398508112481122,0.15800168933899472,0.17747961909901502
dart,chrf,0.4917875458796603,0.47955936914773983,0.4833207818423366
dart,corpus_bleu,0.21967902853837967,0.1658536342938521,0.18929690542316618
dart,corpus_chrf,0.5005902285072608,0.5043343796892773,0.4911752718871834
dart,corpus_ter,0.826086956521739,0.9782608695652173,0.8913043478260869
dart,meteor,0.4599533964518798,0.4378110625478202,0.45561571916744337
dart,rougeL,0.4788612836438924,0.49161883110732213,0.4894928089813
dart,ter,0.8430735930735931,1.094155844155844,0.9148268398268398
e2e_nlg,bertscore_f1,0.9635494589805603,0.9625002264976501,0.9643440008163452
e2e_nlg,bleu,0.6039407616949172,0.5478229224088793,0.5707461568860337
e2e_nlg,chrf,0.7630790025862696,0.7439035359775465,0.7537199664969448
e2e_nlg,corpus_bleu,0.5693771101024845,0.48719558035173366,0.5194091318870911
e2e_nlg,corpus_chrf,0.7434229188949353,0.7233611571817988,0.731698062883905
e2e_nlg,corpus_ter,1.1886792452830188,1.2566037735849058,1.0867924528301887
e2e_nlg,meteor,0.7969604349633757,0.8005827672484923,0.8128502872716717
e2e_nlg,rougeL,0.7397626262626262,0.7363754155224743,0.7490555555555556
e2e_nlg,ter,0.43537802508390744,0.46952835188129305,0.40008390743684863
sportsett_basketball,bertscore_f1,0.8424225211143493,0.8296087980270386,0.8622844576835632
sportsett_basketball,bleu,0.08944279005517025,0.04222023765318979,0.10849857924716524
sportsett_basketball,chrf,0.4143392123458005,0.25575956439395003,0.39591211898344675
sportsett_basketball,corpus_bleu,0.08300523260102388,0.04398714407236904,0.11488490498524671
sportsett_basketball,corpus_chrf,0.4126806463948723,0.25708791574998596,0.39710340323859794
sportsett_basketball,corpus_ter,0.9557686359418497,0.8128673059078255,0.8215279925765543
sportsett_basketball,meteor,0.25367870638316814,0.17033353486492395,0.26680846138483866
sportsett_basketball,rougeL,0.22514372412023356,0.22687754617601477,0.2706430425126459
sportsett_basketball,ter,0.9638057228240552,0.8133002871619075,0.8221133565308609
totto,bertscore_f1,0.9338168501853943,0.82773859500885,0.9065504312515259
totto,bleu,0.3405898067155007,0.04128028476099101,0.15564836681215802
totto,chrf,0.5674100231678423,0.20210430614059013,0.3973923574896983
totto,corpus_bleu,0.3371582096358652,0.023683594126807712,0.1471574286963773
totto,corpus_chrf,0.600846550808452,0.1763832756557342,0.3951285066824063
totto,corpus_ter,0.8715083798882681,10.59217877094972,1.1731843575418994
totto,meteor,0.5651985327254769,0.22661477751805217,0.32416542225196027
totto,rougeL,0.5855671263720799,0.1311176462982622,0.42105801851532404
totto,ter,0.873042378241619,10.065323484232403,1.0752683654106803
web_nlg,bertscore_f1,0.9624354839324951,0.9440257906913757,0.962880802154541
web_nlg,bleu,0.5696398508378541,0.4022408167327198,0.5331513764666994
web_nlg,chrf,0.7492183942741948,0.6567742259772756,0.7136707392370281
web_nlg,corpus_bleu,0.5317067162005807,0.3837717320789304,0.501805893436242
web_nlg,corpus_chrf,0.723016020591783,0.6395126599117849,0.6835798689229242
web_nlg,corpus_ter,0.5175718849840256,0.7380191693290734,0.5079872204472844
web_nlg,meteor,0.6993405567538382,0.6122293185702524,0.6708952479286008
web_nlg,rougeL,0.7702556224170746,0.6341244961934617,0.7574599773439873
web_nlg,ter,0.46510111121845377,0.7094331697653526,0.4633352210832797
